ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,Year,T,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus,M,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80plus,F,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80plus
Tanzania,TZ,MWANZA,TZ19,NYAMAGANA,TZ1903,2020,566150,83209,70038,66134,73798,66774,51859,41923,34033,25234,18624,11198,8383,5808,3900,2481,1598,1156,283316,42127,34766,31670,34442,33746,26647,21473,17808,13752,9383,6283,4373,2825,1779,1136,692,414,282834,41082,35272,34464,39356,33028,25212,20450,16225,11482,9241,4915,4010,2983,2121,1345,906,742
Tanzania,TZ,MWANZA,TZ19,KWIMBA,TZ1904,2020,522169,99561,83845,72775,58609,44669,30984,26694,23752,21504,17116,12179,7984,7181,5754,4408,2956,2198,260652,50523,42577,36618,30277,23052,15587,12970,11304,10206,7843,6135,3868,3168,2428,1944,1255,897,261517,49038,41268,36157,28332,21617,15397,13724,12448,11298,9273,6044,4116,4013,3326,2464,1701,1301
Tanzania,TZ,MWANZA,TZ19,SENGEREMA,TZ1905,2020,867932,162408,137033,118491,96064,73684,57378,49335,43289,35897,27664,19509,13798,11160,8797,6255,4122,3048,441977,81796,69271,60933,51228,38146,29518,25295,22114,18150,13971,10004,6713,4987,3919,2831,1899,1202,425955,80612,67762,57558,44836,35538,27860,24040,21175,17747,13693,9505,7085,6173,4878,3424,2223,1846
Tanzania,TZ,MWANZA,TZ19,ILEMELA,TZ1906,2020,428485,61707,52990,51007,57473,49075,38117,31953,26359,19692,14578,8527,6028,4283,2833,1818,1195,850,211706,31155,26417,24699,25890,24074,18885,16357,13755,10454,7183,4732,3183,2069,1302,768,479,304,216779,30552,26573,26308,31583,25001,19232,15596,12604,9238,7395,3795,2845,2214,1531,1050,716,546
Tanzania,TZ,MWANZA,TZ19,MISUNGWI,TZ1907,2020,467964,89381,74740,63278,52402,39256,28760,24409,22227,19469,15852,10906,7535,6428,5019,3904,2494,1904,236532,45510,38262,32589,27264,20155,14509,12253,10818,9582,7130,5641,3904,3053,2145,1791,1133,793,231432,43871,36478,30689,25138,19101,14251,12156,11409,9887,8722,5265,3631,3375,2874,2113,1361,1111
Tanzania,TZ,MARA,TZ20,TARIME,TZ2001,2020,414598,78841,68457,59188,47384,36218,26704,22041,18505,15951,11035,8735,6574,4908,4055,2745,1853,1404,203259,39859,34544,30095,23239,17224,12709,10528,8693,7524,5670,4304,2924,2013,1571,1125,720,517,211339,38982,33913,29093,24145,18994,13995,11513,9812,8427,5365,4431,3650,2895,2484,1620,1133,887
Tanzania,TZ,MARA,TZ20,SERENGETI,TZ2002,2020,341404,69247,57842,48128,36941,28068,21133,17829,15054,13144,9270,7276,5221,4055,3327,2203,1441,1225,169919,35248,29443,24544,18747,13635,10160,8584,7321,6336,4772,3568,2534,1694,1342,947,613,431,171485,33999,28399,23584,18194,14433,10973,9245,7733,6808,4498,3708,2687,2361,1985,1256,828,794
Tanzania,TZ,MARA,TZ20,MUSOMA,TZ2003,2020,228408,41970,36903,30347,23930,18404,14364,13173,10976,9758,7424,5660,4731,3653,2704,1998,1518,895,114333,21248,18719,15712,12937,9367,6804,6329,5217,4708,3828,2767,2121,1559,1091,886,676,364,114075,20722,18184,14635,10993,9037,7560,6844,5759,5050,3596,2893,2610,2094,1613,1112,842,531
Tanzania,TZ,MARA,TZ20,BUNDA,TZ2004,2020,428592,77376,68976,60451,48064,35314,26033,23228,19814,17578,13079,10492,8230,6673,4955,3630,2733,1966,212173,39114,35291,30927,25328,17791,12487,10910,8994,8163,6550,4953,3622,2737,1955,1461,1171,719,216419,38262,33685,29524,22736,17523,13546,12318,10820,9415,6529,5539,4608,3936,3000,2169,1562,1247
Tanzania,TZ,MARA,TZ20,MUSOMA MUNICIPAL,TZ2005,2020,163721,24410,22376,21575,21522,16484,12672,10437,8306,6789,5101,4084,3224,2480,1689,1151,834,587,78320,12234,11038,10317,10415,7892,5960,4977,3884,3237,2511,1937,1399,978,639,434,305,163,85401,12176,11338,11258,11107,8592,6712,5460,4422,3552,2590,2147,1825,1502,1050,717,529,424
